@relation Dataset-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute AN0 numeric
@attribute AN1 numeric
@attribute AN2 numeric
@attribute AN3 numeric
@attribute AN4 numeric
@attribute AN5 numeric
@attribute AN6 numeric
@attribute MGY numeric
@attribute MGZ numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
-5,0,23,6,16,3,-18,24,-13,2
-12,-13,-14,0,2,-1,-23,23,-25,2
-5,-8,6,14,6,2,-22,24,-24,2
0,-4,5,12,17,10,-17,26,-18,2
0,2,15,16,13,8,-11,24,-20,2
-1,5,-8,13,7,1,-10,24,-23,2
7,-2,8,-3,16,6,-18,21,-25,2
-14,-5,-16,2,-3,-7,-28,27,-25,2
8,1,6,7,14,4,-19,21,-26,2
-9,-11,-6,6,15,4,-31,24,-18,2
5,-3,13,11,10,6,-17,25,-26,2
-4,-6,2,10,7,8,-21,24,-17,2
-7,-11,-12,-5,-1,1,-32,24,-25,2
0,-9,20,10,10,5,-19,20,-26,2
5,-5,-3,7,3,-2,-24,29,-15,2
-12,-5,-14,-4,0,4,-28,23,-25,2
2,6,13,20,7,8,-15,25,-25,2
6,1,15,21,11,7,-14,24,-23,2
-3,-1,-14,2,3,-2,-17,23,-21,2
-7,2,-11,3,6,1,-27,23,-18,2
0,-9,5,12,10,6,-15,24,-24,2
-13,-15,-31,-10,-10,-9,-33,23,-25,2
5,-4,-3,6,3,4,-21,23,-12,2
-4,-3,5,11,11,9,-18,25,-18,2
1,-3,-2,8,15,12,-17,26,-16,2
9,1,-8,3,6,7,-12,24,-25,2
-2,-2,0,12,7,3,-16,23,-11,2
-1,3,-2,3,10,10,-21,22,-24,2
-2,-12,-9,4,0,2,-18,19,-18,2
-4,-5,3,4,7,4,-17,26,-19,2
-1,-9,-15,1,6,-3,-30,26,-28,2
-2,-9,-12,3,2,4,-27,24,-17,2
-4,-5,5,9,5,2,-22,24,-24,2
-17,-19,-15,-1,-5,-4,-30,23,-25,2
1,-4,3,10,13,7,-16,25,-25,2
-2,2,-9,5,3,2,-20,23,-25,2
-17,-14,-12,-4,0,1,-33,23,-26,2
3,1,7,9,12,1,-13,23,-27,2
6,-1,10,4,15,4,-6,21,-26,2
-5,-12,2,7,11,-1,-27,24,-12,2
-17,-3,4,-2,8,0,-26,25,-20,2
-14,-17,-10,-3,5,-3,-22,23,-25,2
-7,14,3,9,27,8,-18,26,-20,3
0,8,11,9,22,6,-13,21,-24,3
2,15,5,17,34,7,-11,25,-24,3
-10,7,-2,-5,18,-5,-29,18,-27,3
2,14,8,4,20,5,-18,25,-22,3
-6,9,-3,-2,24,1,-24,22,-27,3
-5,18,9,7,32,7,-21,22,-12,3
1,3,4,4,20,1,-22,21,-16,3
5,20,5,12,27,7,-18,28,-8,3
-5,5,-1,2,26,1,-23,17,-27,3
-6,14,-3,4,29,1,-17,24,-13,3
-4,10,-2,7,24,4,-21,26,-26,3
-6,4,6,7,14,4,-17,23,-23,3
1,4,2,12,20,2,-23,24,-23,3
2,5,1,3,25,4,-16,23,-26,3
0,8,7,1,22,3,-20,26,-18,3
0,23,8,7,40,6,-16,22,-23,3
-5,3,-5,-1,14,4,-28,22,-25,3
7,5,5,8,23,8,-23,27,-2,3
2,18,7,5,30,5,-14,46,-5,3
0,6,2,8,18,3,-22,27,-23,3
2,19,1,7,25,5,-22,19,-27,3
5,24,5,4,32,14,-14,20,-27,3
3,18,12,13,35,11,-14,23,-22,3
-6,11,1,5,26,3,-25,21,-22,3
0,-1,5,2,20,4,-24,21,-17,3
0,10,-2,4,21,7,-24,38,-26,3
-1,15,0,7,34,8,-20,23,-22,3
-1,15,7,10,25,4,-14,16,-24,3
-1,7,3,11,20,4,-17,8,-8,3
1,16,5,9,28,7,-20,30,-18,3
-1,22,7,7,21,3,-21,21,-13,3
-3,5,7,1,17,1,-24,25,-26,3
-16,0,-5,-7,7,-5,-30,19,-23,3
1,12,13,8,18,2,-16,14,-24,3
4,18,11,14,21,9,-14,29,-14,3
-4,4,6,-4,26,1,-24,19,-13,3
-7,-2,1,3,11,0,-24,24,-22,3
-7,11,4,1,28,-2,-21,18,-26,3
1,18,3,8,29,5,-21,19,-26,3
-1,4,6,2,28,5,-25,25,-24,3
-2,14,5,1,21,9,-18,72,-30,3
-65,-52,-63,-64,-34,-65,-84,23,-11,3
-5,9,5,-3,22,-2,-24,19,-26,3
2,11,6,10,24,6,-13,18,-18,3
-4,16,0,1,36,-1,-16,25,-24,3
4,19,4,10,26,6,-18,28,-8,3
5,11,-2,9,21,2,-20,25,-22,3
-5,7,3,1,21,0,-17,25,-12,3
2,14,8,8,38,8,-19,21,-22,3
0,12,7,4,26,6,-20,18,-25,3
-6,6,4,1,22,11,-15,7,-6,3
0,12,6,5,18,3,-24,20,-26,3
-5,7,0,4,25,4,-16,25,-13,3
-2,10,3,6,20,2,-21,25,-22,3
-8,-2,-1,0,7,2,-24,25,-25,3
-11,9,2,7,23,0,-20,23,-23,3
-2,19,5,7,31,8,-20,22,-12,3
5,20,8,2,40,7,-10,10,-14,3
4,17,12,-1,28,4,-14,17,-28,3
3,17,8,10,27,12,-10,20,-23,3
-7,18,6,9,29,5,-15,21,-13,3
-6,3,6,2,21,9,-16,7,-6,3
-3,7,5,5,18,3,-22,25,-21,3
-9,6,4,-1,22,10,-16,6,-7,3
-3,8,2,4,18,1,-25,22,-26,3
2,-2,5,7,17,5,-23,23,-25,3
-3,21,3,6,32,1,-19,40,-7,3
-3,6,-2,1,23,2,-18,20,-26,3
-3,14,1,5,32,1,-21,20,-25,3
-1,6,7,8,18,4,-20,29,-17,3
4,0,2,-3,18,1,-15,20,-26,3
0,18,10,3,31,6,-18,19,-25,3
-3,6,7,4,17,4,-26,28,-22,3
-9,7,-4,1,20,4,-17,52,-16,3
-1,15,11,2,26,4,-14,18,-26,3
4,16,4,8,39,7,-18,25,-23,3
2,13,8,12,24,9,-19,29,-20,3
5,22,9,13,30,10,-9,28,-8,3
-6,10,1,9,23,5,-22,25,-26,3
0,11,3,6,33,7,-20,20,-22,3
-5,8,0,3,25,3,-16,25,-13,3
7,14,12,6,39,7,-11,20,-21,3
1,16,7,2,21,7,-16,18,-25,3
-6,2,2,-5,15,-1,-23,16,-27,3
-2,19,4,12,30,5,-14,31,-11,3
7,13,12,11,24,13,-14,35,4,3
-4,12,1,-2,26,-2,-23,22,-23,3
-1,14,9,6,25,10,-13,13,-25,3
-2,13,5,8,36,6,-19,24,-23,3
15,20,6,11,46,7,-10,26,-23,3
5,16,6,10,40,8,-9,23,-23,3
-1,9,0,-1,17,4,-26,19,-11,3
-2,15,10,2,29,-2,-21,16,-26,3
6,20,14,8,24,8,-13,24,-23,3
-3,13,-1,10,32,5,-18,23,-23,3
-3,15,1,14,26,8,-20,23,-23,3
-7,14,-3,6,24,5,-23,24,-15,3
-6,-5,-11,-6,13,-1,-24,22,-26,3
-4,11,3,3,24,4,-21,20,-12,3
-5,19,5,7,32,-1,-16,39,-7,3
4,8,6,5,18,4,-19,16,-22,3
-3,5,3,4,20,2,-22,18,-23,3
14,19,15,3,35,8,-8,21,-18,3
1,15,0,2,28,6,-16,21,-13,3
-4,11,0,3,-24,3,-23,21,-14,3
-10,4,-1,-6,13,-5,-18,19,-26,3
-3,16,12,14,16,2,-21,22,-21,3
-1,10,4,-5,18,-3,-25,15,-26,3
0,4,-2,-5,14,1,-19,26,-27,3
-4,9,6,4,21,8,-20,8,-7,3
-8,3,-3,-4,14,2,-24,22,-26,3
1,21,3,8,36,6,-15,25,-23,3
-1,6,-3,3,26,2,-22,18,-25,3
-5,3,1,10,17,6,-23,22,-24,3
-5,-6,-1,5,14,3,-21,23,-25,3
-7,7,2,0,20,4,-17,24,-13,3
