zone,temp,light,presure,humidity,gravityX,gravityY,gravityZ,magX,magY,magZ,gravityMagnitude,magMagnitude,magEarthY,magEarthZ,latitude,longitude,rss0,rss1,rss2,rss3,rss4,rss5,rss6,rss7,rss8,rss9
1,0,14.547314,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.21523,47.321877,24.33535,-40.58511,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,14.547314,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.084098,47.321877,24.103155,-40.723438,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,14.660485,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.084098,47.321877,24.103155,-40.723438,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,14.660485,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.084098,47.541466,24.359684,-40.826412,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,14.660485,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.336055,47.541451,22.405426,-41.930737,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,15.745364,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.336055,47.541451,22.405426,-41.930737,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,15.745364,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.336055,47.821098,23.090975,-41.876781,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,15.745364,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.191592,47.821102,23.145985,-41.846405,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,15.745364,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.191592,48.011795,23.218201,-42.024368,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,16.809023,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.191592,48.011795,23.218201,-42.024368,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,16.809023,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.042786,48.011791,24.179974,-41.478439,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,16.809023,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.042786,48.3932,23.715729,-42.18372,46.953493,7.440081,-59,-65,-72,-57,-69,-84,-62,-89,-86,-86
1,0,16.809023,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.458885,48.393211,24.393448,-41.795483,46.953493,7.440081,-59,-65,-72,-57,-69,-84,-62,-89,-86,-86
